"term","estimate","std.error","statistic","p.value"
"(Intercept)",83312.856609085,10667.5126323017,7.80996090473895,4.8049941913813e-06
"EV_Lag_1",0.0813106488954406,0.0875735988832717,0.928483583320823,0.371456729900636
"EV_Lag_3",-0.151133378749632,0.087402032347386,-1.72917465064131,0.10939242722671
"EV_Lag_7",-0.113469586588127,0.0687979890194678,-1.64931545536917,0.124995105902589
"Days_to_Expiration",174.781231117638,158.149790611224,1.10516258315699,0.290755146864546
